取得日,事実の時点,確度,内容,出典URL
2026-08-26,,報道,ノルウェーのSalmon Evolutionは2026年第2四半期に陸上サーモン養殖の第2フェーズ操業を計画通り開始した,https://www.seafood.media/fis/worldnews/worldnews.asp?monthyear=8-2026&day=19&id=139038&l=e&country=&special=&ndb=1&df=0
2026-08-26,,一次情報,ノルウェーのMowiは2026年4-6月期に売上高約16億ユーロ、営業EBITが前年同期比23%増の約2億3100万ユーロを記録した,https://www.seafoodnews.com/Story/1351884/Mowi-Posts-Record-Revenues-and-Volumes-in-Q2-2026
2026-08-26,,報道,米国えび市場でExpanaの需要指数は2026年6-7月に95.95となり安定水準に戻ったが、冷凍えびの小売販売量は2026年第32週までで前年同期比10.3%減少した,https://www.seafoodnews.com/Story/1352152/Seafoodnewscom-Summary-Thursday-August-20
2026-08-26,2026-08-25,一次情報,Stability AIは2026年8月25日、シリーズBで7600万米ドルの資金調達を発表し、累計調達額は2億3200万米ドルとなった,https://stability.ai/
2026-08-26,2026-08-25,一次情報,Bain & CompanyはAnthropicとのグローバルパートナーシップを2026年8月25日に発表し、Claude Partner NetworkのGlobal Premierパートナーとなった,https://www.bain.com/about/media-center/press-releases/2026/bain-company-announces-partnership-with-anthropic-to-accelerate-clients-enterprise-ai-transformations/
2026-08-26,2026-08-24,一次情報,NVIDIAは2026年8月24日、SpaceXAIがエージェントAI向けにNVIDIA Vera CPUを採用すると発表した,https://nvidianews.nvidia.com/news/spacexai-adopts-nvidia-vera-cpu-to-accelerate-agentic-ai-at-massive-scale
2026-08-26,2026-08-24,一次情報,NVIDIAは2026年8月24日、推論アクセラレーター「Groq 3 LPX」の本格生産開始を発表し、Nebiusが最初の採用企業となった,https://nvidianews.nvidia.com/news/nvidia-groq-3-lpx-now-in-full-production-with-world-class-speed-for-agentic-ai
2026-08-26,2026-08-24,一次情報,奈良市は2026年8月24日、LINEを使った生成AI相談サービス「わたしのミカタ相談」を2026年9月に開始すると発表した,https://www.city.nara.lg.jp/site/press-release/273514.html
2026-08-26,2026-07-21,一次情報,香港教育局は2026年7月21日、初等学校向け情報・イノベーション技術カリキュラムにAI基礎を扱う試行版を追加し学校に周知した,https://applications.edb.gov.hk/circular/upload/EDBCM/EDBCM26113E.pdf
2026-08-26,,一次情報,ロサンゼルス統一学区は2026年8月から幼児教育・トランジショナルキンダーガーテン・キンダーガーテン・小学1年生についてデジタル端末利用を原則廃止する方針を実施した,https://thelalocal.org/neighborhoods/lausds-youngest-students-will-start-a-screen-free-school-year-heres-what-parents-need-to-know/
2026-08-26,,報道,インドのノイダ、グレーター・ノイダでは2026年8月、小学校のスマートボード利用を1日30分、上級小学校を1日60分に制限するよう学校に求めた,https://education.economictimes.indiatimes.com/amp/news/school-education/noida-schools-told-to-cap-smart-board-use-at-30-mins-for-primary-60-mins-for-upper-primary/133229598
2026-08-26,,報道,テキサス州ケイティ独立学区は2026-2027年度から幼稚園から小学6年までMicrosoft CopilotやGoogle Geminiなど生成AIチャットツールの利用を禁止する枠組みを示した,https://www.pursuit.us/news/ai-in-education-news-policies-innovations
2026-08-26,,報道,文部科学省は2026年7月、小学校の総合的な学習の時間に「情報の領域（仮称）」を加える案を示し、2030年度の全面実施を予定している,https://reseed.resemom.jp/article/2026/07/09/13648.html
2026-08-26,,報道,ペルーのアンチョビ漁は2025年第1漁期（北中部海域）で漁獲枠300万トンに対し実績約246万トン、消化率81.9%で早期終了した,https://www.kmi.re.kr/globalnews/view.do?rbsIdx=1&idx=25699
2026-08-26,2026-01-25,報道,ペルーのアンチョビ漁は2025年第2漁期（北中部海域）で漁獲枠163万トンに対し2026年1月25日時点の累積水揚げ量159万6013トン、消化率97.91%となり2026年2月1日に終了した,https://seafood.media/fis/worldnews/worldnews.asp?country=0&monthyear=&l=e&id=137100&ndb=1&df=0
2026-08-26,2026-08-20,報道,"太平洋クロマグロの中西部太平洋大型魚（30kg以上）の漁獲枠は、2027～2028年に11,869トンから14,836トンへ25%増となることが合意された。",https://www.sakuranbo.co.jp/news/2026/08/20/2026082000000004.html
2026-08-26,2026-08-19,報道,"岩手県の養殖サーモンは2026年の生産量が3,600トン台に達し、来期は今期比約6割増の計画である。",https://www.suikei.co.jp/cat/statistics/markets
2026-08-26,2026-08-21,報道,"宮城県の養殖ギンザケは2026年の生産量が15,858トンとなり、前年比3.5%増となった。",https://www.suikei.co.jp/cat/seafood
2026-08-26,2026-08-18,報道,全養殖協は2026年8月18日、農林水産省に対し餌・配合飼料対策の拡充を要請した。,https://www.suikei.co.jp/archives/125392
2026-08-26,,一次情報,"2026年7～9月期の配合飼料供給価格は、全畜種平均で前期比1トン当たり約3,700円上昇した。",https://jaccnet.zennoh.or.jp/product/haigou/2026/p2606.html
2026-08-26,2026-08-19,一次情報,水産研究・教育機構は2026年8月19日、ジャパン・インターナショナル・シーフードショーで高成長ブリ種苗など次世代養殖技術の特別セミナーを開催した。,https://www.suikei.co.jp/archives/126117
2026-08-26,2026-06-24,一次情報,2026年の北海道全体の秋サケ来遊予測は365万尾で、前年（686万尾）比53.1%となり、親魚確保のため根室海区など各地で定置網設置の自主規制が行われた。,https://www.suikei.co.jp/tag/sakemasu
2026-08-26,2026-08-18,報道,2026年8月18日の豊洲市場でのサンマ初競りの最高値は1キログラム当たり約2～3万円で、前年（8.8万円）を大幅に下回った。,https://www.htb.co.jp/news/archives_39019.html
2026-08-26,,伝聞・意見,2026年5～7月の調査に基づき、2026年のサンマ来遊量は前年の約4割にとどまるとの見方が示されている。,https://www.htb.co.jp/news/archives_39019.html
2026-08-26,2026-06-30,報道,"2026年6月のブリ類輸出量は2,725トンで前年同月比32.7%増、上半期累計は18,299トンで前年同期比19.5%増となった。",https://www.suikei.co.jp/tag/buri
2026-08-26,2026-08-19,報道,ペルー北中部海域の2026年第1漁期は、漁獲枠191万トンに対し実績が約46万トン（約24%）にとどまり、2026年8月19日に終漁が発表された。,https://www.suikei.co.jp/tag/iwashi
2026-08-26,2025-12-31,一次情報,"配合飼料価格安定基金は、2025年度第3四半期（2025年10～12月）に養殖用配合飼料で1トン当たり25,340円の補填を発動した。",https://www.gyoankyo.or.jp/wp514/wp-content/uploads/2026/01/%E9%A3%BC%E6%96%99%E8%A3%9C%E3%81%A6%E3%82%93%E5%88%A4%E5%AE%9A%E7%B5%90%E6%9E%9CR7.3Q.pdf
2026-08-26,,報道,オーストラリア・ニューサウスウェールズ州産の野生イエローテール・キングフィッシュのサンプルの38.9%で寄生虫Unicapsula seriolaeが検出された。,https://phys.org/news/2026-08-parasite-linked-mushy-fish-widespread.html
2026-08-26,,報道,スペイン・アリカンテ港でアリカンテ・アクアカルチャーがグレーターアンバージャック（カンパチ）の陸上循環式養殖（RAS）による商業生産を開始し、初期の年間生産能力は600トンとされている。,https://eurofish.dk/innovative-design-used-to-farm-greater-amberjack-in-ras/
2026-08-26,,報道,中国の飼料生産は2026年上半期に前年同期比17.4%増となった。,https://www.mispeces.com/en/news/
2026-08-26,2026-08-19,報道,中国南方航空はオスロ-上海間の直行貨物路線を開始し、ノルウェー産サーモンの輸送能力が週200トン増加すると報じられた。,https://www.salmonbusiness.com/industry
2026-08-26,,報道,Mowi Scotlandは記録的な収穫により営業利益が前年同期比54%増となったと報じられた。,https://www.salmonbusiness.com/industry
2026-08-26,,報道,地中海地域では海水温28℃を超える日数の増加により、養殖魚介類への熱ストレスが強まっていると報じられた。,https://www.mispeces.com/en/news/
2026-08-26,,報道,ベトナム産パンガシウスに対する米国の一部企業向け反ダンピング関税が、従来の1キログラム当たり0.29米ドルから1米ドルに引き上げられたと報じられた。,https://www.efeedlink.com/channels/aquaculture
2026-08-26,2026-07-15,報道,2026年7月中旬時点の米国天然sockeye（頭付き・内臓除去）の平均価格は1ポンド当たり7.625米ドルで、前年同時点（約5.90米ドル）比約29%高となった。,https://www.seafoodnews.com/Story/1349401/ANALYSIS-US-Sockeye-Prices-Hold-Firm-as-Reports-of-Increased-Freezing-Surface
2026-08-26,2026-08-24,一次情報,"Thomson Reutersは2026年8月24日、開発・学習に4,000万米ドルを投資した初の自社大規模言語モデル「Thomson」を発表した。",https://www.thomsonreuters.com/en/press-releases/2026/august/thomson-reuters-leverages-its-world-class-data-assets-to-launch-its-own-frontier-model
2026-08-26,2026-08-25,一次情報,Anthropicは2026年8月25日、AIが利用者のウェルビーイングに与える影響を評価する独立研究に対し500万米ドルの助成プログラムを開始すると発表した。,https://www.anthropic.com/news/wellbeing-research-grants
2026-08-26,2026-08-26,一次情報,OpenAIはOpenAI o3を2026年8月26日にChatGPTから退役させる予定であるとリリースノートで示した。,https://help.openai.com/en/articles/6825453-chatgpt-release-notes
2026-08-26,2026-07-21,一次情報,香港教育局は2026年7月21日、初等学校向けの人工知能予備学習カリキュラム案の試行版を公表した。,https://applications.edb.gov.hk/circular/upload/EDBCM/EDBCM26113E.pdf
2026-08-26,2026-08-01,報道,ノルウェーでは2026年8月開始の新学年度から、小学校1～7年生（6～13歳）は生成AIを原則として利用しない方針が示された。,https://www.reuters.com/technology/norway-imposes-near-ban-ai-elementary-school-2026-06-19/
